id,category,subcategory,question,answer,question_zh,answer_zh,question_en,answer_en,source_title,source_type,dataset_source,updated_at,language
public_zh_faq_0001,product,product_info,商品显示为‘即将推出’但无法预购，我能申请购买吗？,如果商品显示为‘即将推出’且未开放预购，您需要等待该商品正式发布并上架销售后才能购买。,商品显示为‘即将推出’但无法预购，我能申请购买吗？,如果商品显示为‘即将推出’且未开放预购，您需要等待该商品正式发布并上架销售后才能购买。,Can I request a product if it is listed as 'coming soon' but not available for pre-order?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0002,general,general_support,你们提供礼品包装服务吗？,是的，我们提供礼品包装服务，需额外收费。在结算过程中，您可以选择为订单添加礼品包装的选项。,你们提供礼品包装服务吗？,是的，我们提供礼品包装服务，需额外收费。在结算过程中，您可以选择为订单添加礼品包装的选项。,Do you offer gift wrapping services?,"Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0003,return,return_policy,商品在运输过程中损坏了，可以退货吗？,如果您的商品在运输过程中损坏，请立即联系我们的客服团队。我们将为您提供退货和换货的流程指导。,商品在运输过程中损坏了，可以退货吗？,如果您的商品在运输过程中损坏，请立即联系我们的客服团队。我们将为您提供退货和换货的流程指导。,Can I return a product if it was damaged during shipping?,"If your product was damaged during shipping, please contact our customer support team immediately. We will guide you through the return and replacement process.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0004,payment,payment_issue,你们支持哪些支付方式？,我们接受主流信用卡、借记卡以及PayPal作为在线订单的支付方式。,你们支持哪些支付方式？,我们接受主流信用卡、借记卡以及PayPal作为在线订单的支付方式。,What payment methods do you accept?,"We accept major credit cards, debit cards, and PayPal as payment methods for online orders.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0005,product,product_info,商品显示为‘预售’但支持缺货订购，我能下单吗？,如果商品标注为‘预售’且支持缺货订购，您可以下单锁定库存。商品将在到货后为您安排发货。,商品显示为‘预售’但支持缺货订购，我能下单吗？,如果商品标注为‘预售’且支持缺货订购，您可以下单锁定库存。商品将在到货后为您安排发货。,Can I order a product if it is listed as 'pre-order' but available for backorder?,"If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0006,return,return_policy,如果商品是作为套装或组合购买的，可以退货吗？,套装或组合商品的退货政策可能有所不同，请参考具体的条款与条件，或联系我们的客服团队获取进一步指导。,如果商品是作为套装或组合购买的，可以退货吗？,套装或组合商品的退货政策可能有所不同，请参考具体的条款与条件，或联系我们的客服团队获取进一步指导。,Can I return a product if it was purchased as part of a bundle or set?,"If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0007,coupon,coupon_rule,你们有会员积分或忠诚度计划吗？,有的，我们设有会员忠诚计划，您每次购物均可累积积分，积分可在后续订单中抵扣金额。详情及加入方式请访问我们的官网了解。,你们有会员积分或忠诚度计划吗？,有的，我们设有会员忠诚计划，您每次购物均可累积积分，积分可在后续订单中抵扣金额。详情及加入方式请访问我们的官网了解。,Do you have a loyalty program?,"Yes, we have a loyalty program where you can earn points for every purchase. These points can be redeemed for discounts on future orders. Please visit our website to learn more and join the program.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0008,general,general_support,你们有在线客服吗？,有的，我们在工作时间内提供网站在线客服支持。您可以在页面右下角找到聊天图标，点击即可与我们的客服团队联系。,你们有在线客服吗？,有的，我们在工作时间内提供网站在线客服支持。您可以在页面右下角找到聊天图标，点击即可与我们的客服团队联系。,Do you offer live chat support?,"Yes, we offer live chat support on our website during our business hours. Look for the chat icon in the bottom right corner to initiate a chat with our customer support team.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0009,product,product_info,缺货的商品可以帮我预留吗？,很抱歉，我们暂不支持缺货商品的预留服务。不过，您可以开启到货通知，商品补货后会第一时间提醒您。,缺货的商品可以帮我预留吗？,很抱歉，我们暂不支持缺货商品的预留服务。不过，您可以开启到货通知，商品补货后会第一时间提醒您。,Can I request a product that is currently out of stock to be reserved for me?,"We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0010,return,return_policy,没有小票能退货吗？,退货通常需要提供收据或购买凭证。建议您查阅我们的退货政策，或联系客服团队获取帮助。,没有小票能退货吗？,退货通常需要提供收据或购买凭证。建议您查阅我们的退货政策，或联系客服团队获取帮助。,Can I return a product without a receipt?,A receipt or proof of purchase is usually required for returns. Please refer to our return policy or contact our customer support team for assistance.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0011,refund,refund_policy,打折或促销时买的商品能退货吗？,可以退货。退款金额将按您实际支付的折扣后价格处理。,打折或促销时买的商品能退货吗？,可以退货。退款金额将按您实际支付的折扣后价格处理。,Can I return a product if it was purchased during a sale or with a discount?,"Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0012,product,product_info,商品显示为“缺货”但可以预购，我能下单吗？,如果商品支持预购，您可以下单锁定库存，商品将在到货后为您发货。,商品显示为“缺货”但可以预购，我能下单吗？,如果商品支持预购，您可以下单锁定库存，商品将在到货后为您发货。,Can I order a product if it is listed as 'out of stock' but available for pre-order?,"If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0013,product,product_info,显示缺货的商品还能申请补货吗？,我们会尽量为热门商品安排补货。建议您开启商品到货通知，以便在商品重新上架时第一时间收到提醒。,显示缺货的商品还能申请补货吗？,我们会尽量为热门商品安排补货。建议您开启商品到货通知，以便在商品重新上架时第一时间收到提醒。,Can I request a product that is listed as 'out of stock' to be restocked?,We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0014,product,product_info,怎么给商品写评价？,请前往我们网站的商品页面，点击“写评价”按钮，即可根据您的使用体验分享反馈和评分。,怎么给商品写评价？,请前往我们网站的商品页面，点击“写评价”按钮，即可根据您的使用体验分享反馈和评分。,How can I leave a product review?,"To leave a product review, navigate to the product page on our website and click on the 'Write a Review' button. You can share your feedback and rating based on your experience with the product.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0015,product,product_info,商品显示为“暂停销售”状态，还能下单吗？,如果商品显示为“暂停销售”，说明该商品暂时无法购买。建议您稍后再查看，或开启到货通知，以便在商品恢复销售时第一时间收到提醒。,商品显示为“暂停销售”状态，还能下单吗？,如果商品显示为“暂停销售”，说明该商品暂时无法购买。建议您稍后再查看，或开启到货通知，以便在商品恢复销售时第一时间收到提醒。,Can I order a product if it is listed as 'on hold'?,"If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0016,product,product_info,可以定制或个性化产品吗？,我们目前暂不支持定制或个性化产品，建议您浏览网站上的现有商品进行选购。,可以定制或个性化产品吗？,我们目前暂不支持定制或个性化产品，建议您浏览网站上的现有商品进行选购。,Can I request a custom order or personalized product?,We do not currently offer custom orders or personalized products. Please explore the available products on our website.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0017,product,product_info,商品页面显示‘已停产’，但还能看到，能下单吗？,如果商品标注为‘已停产’但仍显示在网站上，可能是系统错误。请联系我们的客服团队进行确认。,商品页面显示‘已停产’，但还能看到，能下单吗？,如果商品标注为‘已停产’但仍显示在网站上，可能是系统错误。请联系我们的客服团队进行确认。,Can I order a product if it is listed as 'discontinued' but still visible on the website?,"If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0018,account,account_security,怎么修改我的账户信息？,请登录您的账户，进入“账户设置”页面，即可进行所需信息的修改。,怎么修改我的账户信息？,请登录您的账户，进入“账户设置”页面，即可进行所需信息的修改。,How do I update my account information?,"To update your account information, log in to your account, navigate to the 'Account Settings' section, and make the necessary changes.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0019,refund,refund_policy,用礼品卡买的商品能退货吗？,可以，使用礼品卡购买的商品支持退货。退款将以店铺余额或新礼品卡的形式返还给您。,用礼品卡买的商品能退货吗？,可以，使用礼品卡购买的商品支持退货。退款将以店铺余额或新礼品卡的形式返还给您。,Can I return a product if it was purchased with a gift card?,"Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0020,product,product_info,商品显示‘暂时缺货’还能下单吗？,如果商品显示为‘暂时缺货’，说明当前库存已售罄，但未来可能会补货。建议您稍后再查看，或开启到货通知。,商品显示‘暂时缺货’还能下单吗？,如果商品显示为‘暂时缺货’，说明当前库存已售罄，但未来可能会补货。建议您稍后再查看，或开启到货通知。,Can I order a product if it is listed as 'temporarily unavailable'?,"If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0021,product,product_info,产品显示为‘已停产’，还能申请购买吗？,很抱歉，如果产品标注为‘已停产’，则代表该商品已无法购买。建议您在我们的网站上查看其他替代产品。,产品显示为‘已停产’，还能申请购买吗？,很抱歉，如果产品标注为‘已停产’，则代表该商品已无法购买。建议您在我们的网站上查看其他替代产品。,Can I request a product if it is listed as 'discontinued'?,"Unfortunately, if a product is listed as 'discontinued,' it is no longer available for purchase. We recommend exploring alternative products on our website.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0022,general,general_support,你们的营业时间是什么？,我们的营业时间为[工作时间]。在此期间，客服团队将为您提供咨询和问题处理服务。,你们的营业时间是什么？,我们的营业时间为[工作时间]。在此期间，客服团队将为您提供咨询和问题处理服务。,What are your business hours?,"Our business hours are [working hours]. During these hours, our customer support team is available to assist you with any inquiries or issues.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0023,product,product_info,商品显示‘售罄’但可以预购，我还能下单吗？,如果商品显示‘售罄’但支持预购，您可以下单锁定库存。商品到货后我们会尽快为您发货。,商品显示‘售罄’但可以预购，我还能下单吗？,如果商品显示‘售罄’但支持预购，您可以下单锁定库存。商品到货后我们会尽快为您发货。,Can I order a product if it is listed as 'sold out' but available for pre-order?,"If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0024,refund,refund_policy,清仓或特价商品能退货吗？,清仓或特价商品通常不支持退货和退款。请查看商品描述或联系我们的客服团队了解更多信息。,清仓或特价商品能退货吗？,清仓或特价商品通常不支持退货和退款。请查看商品描述或联系我们的客服团队了解更多信息。,Can I return a product if it was a clearance or final sale item?,Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0025,delivery,delivery_tracking,我可以下单把商品寄到其他国家吗？,可以，我们提供部分国家的国际配送服务。请在结账时查看可配送的目的地，或联系我们的客服获取帮助。,我可以下单把商品寄到其他国家吗？,可以，我们提供部分国家的国际配送服务。请在结账时查看可配送的目的地，或联系我们的客服获取帮助。,Can I order a product for delivery to a different country?,"Yes, we offer international shipping to select countries. Please review the available shipping destinations during checkout or contact our customer support for assistance.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0026,delivery,delivery_tracking,下单后还能修改收货地址吗？,如需修改收货地址，请尽快联系我们的客服团队。若订单尚未发货，我们会尽力为您更新地址信息。,下单后还能修改收货地址吗？,如需修改收货地址，请尽快联系我们的客服团队。若订单尚未发货，我们会尽力为您更新地址信息。,Can I change my shipping address after placing an order?,"If you need to change your shipping address, please contact our customer support team as soon as possible. We will do our best to update the address if the order has not been shipped yet.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0027,invoice,invoice_service,订单可以申请发票吗？,可以的，通常订单中会附带发票。如果您需要单独开具发票，请联系我们的客服团队并提供订单详情。,订单可以申请发票吗？,可以的，通常订单中会附带发票。如果您需要单独开具发票，请联系我们的客服团队并提供订单详情。,Can I request an invoice for my order?,"Yes, an invoice is usually included with your order. If you require a separate invoice, please contact our customer support team with your order details.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0028,product,product_info,缺货的商品可以帮我预留吗？,很抱歉，我们暂不支持为缺货商品提供预留服务。不过，您可以开启到货通知，商品补货后会第一时间提醒您。,缺货的商品可以帮我预留吗？,很抱歉，我们暂不支持为缺货商品提供预留服务。不过，您可以开启到货通知，商品补货后会第一时间提醒您。,Can I request a product that is listed as 'out of stock' to be reserved for me?,"We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0029,product,product_info,你们提供产品安装服务吗？,部分产品支持安装服务。请查看商品详情或联系客服了解具体信息并申请安装。,你们提供产品安装服务吗？,部分产品支持安装服务。请查看商品详情或联系客服了解具体信息并申请安装。,Do you offer installation services for your products?,Installation services are available for select products. Please check the product description or contact our customer support team for more information and to request installation services.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0030,product,product_info,缺货的商品还能补货吗？我可以申请补货吗？,我们会尽量为热销商品安排补货。建议您开启商品到货通知，以便在商品重新上架时第一时间收到提醒。,缺货的商品还能补货吗？我可以申请补货吗？,我们会尽量为热销商品安排补货。建议您开启商品到货通知，以便在商品重新上架时第一时间收到提醒。,Can I request a product that is out of stock to be restocked?,We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0031,product,product_info,限时发售的商品卖完了还能补货吗？,限时发售商品一旦售罄，通常不会再次补货。这类商品仅在限定时间内供应，建议您在可购买时及时下单。,限时发售的商品卖完了还能补货吗？,限时发售商品一旦售罄，通常不会再次补货。这类商品仅在限定时间内供应，建议您在可购买时及时下单。,Can I request a product that is listed as 'limited edition' to be restocked?,"Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0032,product,product_info,预购商品能和现货商品一起下单吗？,可以，您可以将预购商品与现货商品合并下单。但请注意，整笔订单将在所有商品到货后统一发货。,预购商品能和现货商品一起下单吗？,可以，您可以将预购商品与现货商品合并下单。但请注意，整笔订单将在所有商品到货后统一发货。,Can I order a product that is listed as 'pre-order' with other in-stock items?,"Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0033,return,return_policy,退货时没有原包装可以吗？,虽然建议使用原包装退货，但您也可以在没有原包装的情况下申请退货。如有需要，请联系我们的客服团队获取指导。,退货时没有原包装可以吗？,虽然建议使用原包装退货，但您也可以在没有原包装的情况下申请退货。如有需要，请联系我们的客服团队获取指导。,Can I return a product if I no longer have the original packaging?,"While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0034,product,product_info,你们的产品保修期是多久？,我们产品的保修期因商品而异，具体保修信息请查看商品页面，或联系我们的客服团队咨询。,你们的产品保修期是多久？,我们产品的保修期因商品而异，具体保修信息请查看商品页面，或联系我们的客服团队咨询。,What is the warranty on your products?,The warranty on our products varies by item. Please refer to the product page for specific warranty information or contact our customer support team.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0035,exchange,exchange_policy,产品损坏了，可以申请维修或换货吗？,如果您收到的产品有损坏，请立即联系我们的客服团队。我们将协助您完成维修或换货的相关流程。,产品损坏了，可以申请维修或换货吗？,如果您收到的产品有损坏，请立即联系我们的客服团队。我们将协助您完成维修或换货的相关流程。,Can I request a product repair or replacement if it is damaged?,"If you receive a damaged product, please contact our customer support team immediately. We will assist you with the necessary steps for repair or replacement.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0036,product,product_info,如果商品目前没有我喜欢的颜色，可以申请补货吗？,如果商品暂时没有您偏好的颜色，可能是该颜色库存暂时缺货。建议您稍后再查看，或订阅颜色到货通知。,如果商品目前没有我喜欢的颜色，可以申请补货吗？,如果商品暂时没有您偏好的颜色，可能是该颜色库存暂时缺货。建议您稍后再查看，或订阅颜色到货通知。,Can I request a product if it is not currently available in my preferred color?,"If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0037,general,general_support,可以打电话下单吗？,很抱歉，我们暂不支持电话下单。请您通过我们的网站提交订单，以确保交易顺畅安全。,可以打电话下单吗？,很抱歉，我们暂不支持电话下单。请您通过我们的网站提交订单，以确保交易顺畅安全。,Can I order by phone?,"Unfortunately, we do not accept orders over the phone. Please place your order through our website for a smooth and secure transaction.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0038,product,product_info,显示“即将上市”的商品可以下单购买吗？,标注为“即将上市”的商品暂时无法直接购买。建议您订阅到货通知，我们会在商品上架后第一时间告知您。,显示“即将上市”的商品可以下单购买吗？,标注为“即将上市”的商品暂时无法直接购买。建议您订阅到货通知，我们会在商品上架后第一时间告知您。,Can I order a product that is listed as 'coming soon'?,Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0039,product,product_info,缺货的商品还能下单吗？,如果商品暂时缺货，您通常可以点击“到货通知”进行登记。一旦商品重新上架，我们会第一时间通知您。,缺货的商品还能下单吗？,如果商品暂时缺货，您通常可以点击“到货通知”进行登记。一旦商品重新上架，我们会第一时间通知您。,Can I order a product that is out of stock?,"If a product is currently out of stock, you will usually see an option to sign up for product notifications. This way, you will be alerted when the product becomes available again.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0040,product,product_info,我订单里的商品能改或取消吗？,如需更改或取消订单中的商品，请尽快联系我们的客服团队，我们将协助您完成相关操作。,我订单里的商品能改或取消吗？,如需更改或取消订单中的商品，请尽快联系我们的客服团队，我们将协助您完成相关操作。,Can I change or cancel an item in my order?,"If you need to change or cancel an item in your order, please contact our customer support team as soon as possible. We will assist you with the necessary steps.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0041,product,product_info,商品显示‘缺货’但可以预订，我还能下单吗？,如果商品显示‘缺货’但支持预订，您可以下单锁定库存。商品到货后我们会尽快为您发货。,商品显示‘缺货’但可以预订，我还能下单吗？,如果商品显示‘缺货’但支持预订，您可以下单锁定库存。商品到货后我们会尽快为您发货。,Can I order a product if it is listed as 'out of stock' but available for backorder?,"If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0042,product,product_info,商品显示为“即将上市”并支持预购，我能下单吗？,如果商品标注为“即将上市”并开放预购，您可以提前下单，以确保在正式发售前锁定该商品。,商品显示为“即将上市”并支持预购，我能下单吗？,如果商品标注为“即将上市”并开放预购，您可以提前下单，以确保在正式发售前锁定该商品。,Can I order a product if it is listed as 'coming soon' and available for pre-order?,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0043,product,product_info,如果我的尺码暂时没货，可以申请补货吗？,如果商品暂时没有您需要的尺码，可能是该尺码已售罄或库存不足。建议您稍后再来查看，或订阅尺码到货通知，以便及时获取补货信息。,如果我的尺码暂时没货，可以申请补货吗？,如果商品暂时没有您需要的尺码，可能是该尺码已售罄或库存不足。建议您稍后再来查看，或订阅尺码到货通知，以便及时获取补货信息。,Can I request a product if it is not currently available in my size?,"If a product is not available in your size, it may be temporarily out of stock. Please check back later or sign up for size notifications.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0044,delivery,delivery_tracking,我的包裹丢了或者坏了怎么办？,如果您的包裹在运输过程中丢失或损坏，请立即联系我们的客服团队。我们将启动调查并采取必要措施为您解决问题。,我的包裹丢了或者坏了怎么办？,如果您的包裹在运输过程中丢失或损坏，请立即联系我们的客服团队。我们将启动调查并采取必要措施为您解决问题。,What should I do if my package is lost or damaged?,"If your package is lost or damaged during transit, please contact our customer support team immediately. We will initiate an investigation and take the necessary steps to resolve the issue.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
